bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
2,3,2008,4,4,80000,1,2008,18,5,0,2.4
7,1,2019,1,4,50000,1,2019,23,6,0,10.25
7,1,2023,4,4,10000,1,2023,17,6,0,14.0
2,2,2013,4,4,57000,1,2013,21,5,0,2.85
7,1,2016,1,4,110000,1,2016,16,6,0,10.0
2,1,2019,4,0,10000,1,2019,21,5,0,7.8
2,2,2012,4,4,50000,1,2012,18,5,0,4.75
7,1,2019,1,4,120000,1,2019,20,6,0,7.5
2,1,2014,4,4,35469,1,2014,18,5,0,5.55
2,2,2017,4,4,40073,1,2017,18,5,0,6.07
2,2,2017,4,0,65730,1,2017,18,5,0,5.14
8,2,2005,4,4,120000,1,2005,15,5,0,2.5
2,2,2016,4,4,36184,1,2016,21,5,0,7.05
2,1,2016,4,4,69310,1,2016,21,5,0,6.53
8,1,2015,4,4,55643,0,2015,18,5,0,8.72
2,2,2017,4,0,62803,0,2017,18,4,0,5.64
2,2,2011,1,4,90000,1,2011,22,5,0,3.7
2,1,2015,4,4,68656,1,2015,22,5,0,5.5
2,3,2016,4,4,77501,1,2016,18,5,0,5.17
8,1,2016,4,4,40000,1,2016,20,5,0,6.2
8,1,2016,4,0,40000,1,2016,20,5,0,6.2
8,1,2014,4,0,48325,0,2014,18,5,0,7.5
7,1,2022,4,4,30000,1,2022,17,6,0,12.2
2,2,2013,1,4,100000,0,2013,14,7,0,13.5
2,1,2015,4,4,69000,1,2015,22,5,0,5.75
7,1,2018,1,4,110000,1,2018,17,6,0,12.5
8,2,2016,4,4,50000,1,2016,17,5,0,8.68
4,1,2020,1,0,60000,0,2020,14,8,0,30.0
2,1,2021,4,4,20000,1,2021,20,6,0,9.8
2,1,2022,4,5,14999,0,2022,22,5,0,9.0
2,2,2016,4,0,90773,1,2016,18,5,0,5.5
8,1,2012,1,4,90000,1,2012,20,5,0,4.5
2,2,2017,4,5,64917,1,2017,20,5,0,6.1
2,1,2017,4,0,70235,1,2017,18,5,0,5.43
2,1,2021,4,4,30000,1,2021,20,6,0,9.8
2,1,2016,4,0,78782,1,2016,18,5,0,5.35
7,2,2014,1,4,164000,1,2014,15,6,0,8.5
8,2,2016,4,4,72136,1,2016,20,5,0,6.61
2,2,2015,4,0,52486,1,2015,22,5,0,5.05
8,1,2007,1,0,150000,0,2007,15,6,0,4.5
7,1,2017,4,0,36887,1,2017,17,5,0,8.65
7,1,2019,4,4,47962,1,2019,18,6,0,9.99
7,1,2014,1,4,135000,1,2014,20,5,0,5.95
8,2,2018,4,0,47398,0,2018,14,7,0,23.65
8,2,2012,4,0,50000,1,2012,14,5,0,4.0
8,1,2012,1,4,100000,1,2012,19,5,0,5.5
7,1,2020,1,5,55000,0,2020,14,8,0,60.5
2,3,2013,4,4,90000,0,2013,17,7,0,5.2
2,1,2016,4,0,116624,1,2016,21,5,0,6.16
8,2,2019,4,5,54561,1,2019,21,5,0,7.95
4,2,2013,1,4,120000,1,2013,12,5,0,12.75
2,1,2016,4,0,65072,1,2016,18,5,0,6.24
2,1,2017,4,4,133532,1,2017,18,5,0,5.49
4,3,2010,1,0,120000,1,2010,11,5,0,7.6
8,1,2013,4,5,39886,1,2013,22,5,0,5.24
7,1,2019,1,4,80000,1,2019,15,6,0,16.5
2,2,2015,1,0,56976,1,2015,25,5,0,5.83
8,2,2020,4,4,68303,1,2020,17,6,0,11.47
2,2,2013,4,4,80000,0,2013,13,6,0,17.5
8,1,2016,1,0,54000,0,2016,21,7,0,8.25
7,1,2016,1,4,98500,0,2016,12,9,0,31.5
2,1,2018,4,0,72348,1,2018,16,5,0,7.55
7,1,2015,4,0,70000,1,2015,13,6,0,8.75
2,1,2021,4,0,62696,1,2021,17,5,0,8.55
7,3,2014,1,0,174000,0,2014,12,5,0,18.45
2,1,2016,4,5,65000,1,2016,18,5,0,5.25
2,1,2017,4,0,36000,0,2017,18,4,0,6.5
4,2,2011,1,0,199000,1,2011,12,5,0,9.5
8,1,2018,4,4,71905,0,2018,18,5,0,8.46
2,2,2013,4,0,69748,1,2013,22,5,0,4.24
2,1,2008,4,4,44000,1,2008,19,5,0,2.1
8,2,2021,4,0,17875,1,2021,17,6,0,9.59
7,1,2020,4,4,95678,1,2020,16,6,0,8.89
7,1,2022,4,0,12003,0,2022,19,5,0,8.5
7,2,2018,1,4,114427,1,2018,23,5,0,8.36
7,1,2022,4,4,20000,0,2022,19,5,0,6.6
2,1,2012,4,4,64655,1,2012,19,5,0,3.34
7,1,2018,4,4,46456,1,2018,18,5,0,5.94
7,1,2021,4,4,20000,0,2021,18,5,0,9.91
7,1,2018,1,0,50000,1,2018,17,6,0,14.5
8,4,2011,1,4,90000,1,2011,20,5,0,2.19
7,1,2022,1,4,20000,1,2022,19,6,0,12.85
7,1,2021,4,4,27000,0,2021,19,8,0,41.95
4,3,2008,1,4,150000,1,2008,12,5,0,4.55
2,1,2022,4,4,10000,1,2022,22,5,0,8.25
8,1,2018,4,4,40000,1,2018,17,5,0,8.25
7,1,2020,1,0,40000,1,2020,23,5,0,9.2
8,2,2018,1,4,20000,0,2018,19,9,0,33.0
7,2,2017,1,0,91598,1,2017,22,5,0,7.29
2,1,2015,4,0,57521,1,2015,25,5,0,4.32
7,1,2016,1,4,100000,1,2016,19,5,0,7.0
8,1,2021,4,0,7598,1,2021,17,6,0,14.99
7,1,2017,4,0,38520,1,2017,13,5,0,7.62
7,1,2022,4,5,20000,1,2022,15,5,0,16.25
7,2,2014,1,0,110455,1,2014,20,5,0,6.32
7,1,2020,4,4,26901,0,2020,18,7,0,12.18
2,1,2017,4,0,65376,0,2017,18,4,0,5.24
7,3,2018,1,4,28177,1,2018,15,6,0,14.05
7,1,2022,4,4,10000,1,2022,18,6,0,13.9
7,1,2021,4,4,30000,0,2021,19,6,0,18.9
7,1,2018,4,0,27000,0,2018,13,6,0,12.75
2,3,2010,4,4,90000,0,2010,19,4,0,2.75
8,1,2022,4,4,20000,1,2022,17,5,0,11.25
8,1,2016,4,4,82998,0,2016,18,5,0,6.5
8,3,2010,4,0,110000,0,2010,12,7,0,7.0
8,1,2019,4,4,14500,1,2019,17,5,0,11.0
8,3,2016,1,0,120000,1,2016,21,5,0,2.6
2,2,2010,4,0,68000,0,2010,19,4,0,3.95
8,1,2019,4,4,25887,1,2019,20,5,0,6.81
2,1,2020,4,4,74094,1,2020,21,5,0,4.05
2,1,2018,4,4,40000,0,2018,19,5,0,7.65
2,1,2014,1,0,91045,1,2014,23,5,0,4.87
7,1,2018,1,4,80033,1,2018,15,6,0,14.74
7,2,2017,1,0,70000,0,2017,16,6,0,13.4
4,1,2021,4,0,13957,0,2021,18,5,0,7.7
2,2,2018,4,4,34140,0,2018,21,5,0,8.18
7,1,2017,4,4,20056,1,2017,17,5,0,7.24
2,3,2016,4,4,38233,0,2016,26,5,0,4.68
8,1,2013,4,0,100000,1,2013,14,6,0,5.0
7,2,2016,1,4,50000,1,2016,22,5,0,6.0
7,2,2017,1,4,70000,1,2017,16,6,0,13.5
2,1,2016,4,4,44000,1,2016,18,5,0,5.25
2,2,2006,4,0,90000,1,2006,15,5,0,1.75
8,1,2016,4,0,30000,0,2016,19,4,0,7.25
