bt,ownerNo,modelYear,price,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City
SUV,2,2019,₹ 7 Lakh,Petrol,Third Party insurance,60000 Kms,Manual,2020.0,,,Delhi
Sedan,1,2014,₹ 3.10 Lakh,Petrol,Third Party insurance,41684 Kms,Manual,2013.0,18.6 kmpl,5 Speed,Delhi
Sedan,3,2011,₹ 7 Lakh,Petrol,Third Party insurance,70000 Kms,Automatic,2014.0,12.3 kmpl,7 Speed,Delhi
Hatchback,1,2016,₹ 4.40 Lakh,Petrol,Comprehensive,51607 Kms,Manual,2015.0,18.16 kmpl,5 Speed,Delhi
Sedan,1,2015,₹ 4 Lakh,Diesel,Comprehensive,90000 Kms,Manual,2018.0,20.65 kmpl,5 Speed,Delhi
MUV,1,2020,₹ 30.50 Lakh,Diesel,Third Party insurance,30000 Kms,Automatic,2017.0,14.11 kmpl,8-Speed,Delhi
SUV,1,2022,₹ 15.75 Lakh,Diesel,Comprehensive,40000 Kms,Manual,2015.0,15.2 kmpl,6 Speed,Delhi
SUV,1,2020,₹ 49.95 Lakh,Diesel,Comprehensive,35000 Kms,Automatic,2016.0,,9 speed Tronic,Delhi
Hatchback,1,2013,₹ 3.60 Lakh,Petrol,Third Party insurance,97672 Kms,Manual,2020.0,22.38 kmpl,5-Speed,Delhi
Sedan,3,2014,₹ 3.60 Lakh,Petrol,Third Party insurance,90000 Kms,Manual,2016.0,17.01 kmpl,5 Speed,Delhi
Hatchback,2,2015,₹ 3.44 Lakh,Petrol,Third Party insurance,68740 Kms,Manual,2013.0,18.06 kmpl,5 Speed ,Delhi
Sedan,1,2018,₹ 35.65 Lakh,Petrol,Comprehensive,37000 Kms,Automatic,2021.0,14.74 kmpl,9 Speed,Delhi
Sedan,1,2017,₹ 6 Lakh,Diesel,Comprehensive,40000 Kms,Manual,2022.0,28.09 kmpl,5 Speed,Delhi
Sedan,2,2015,₹ 3.40 Lakh,Petrol,Third Party insurance,86245 Kms,Manual,2017.0,18 kmpl,5 Speed,Delhi
Hatchback,2,2016,₹ 6.75 Lakh,Petrol,Comprehensive,40000 Kms,Automatic,2015.0,17.21 kmpl,7 Speed,Delhi
Sedan,2,2020,₹ 43.75 Lakh,Petrol,Third Party insurance,15000 Kms,Automatic,2017.0,15.34 kmpl,8 Speed,Delhi
Hatchback,2,2016,₹ 2.94 Lakh,Petrol,Third Party insurance,60896 Kms,Manual,2014.0,22.05 kmpl,5 Speed,Delhi
Sedan,1,2013,₹ 3.75 Lakh,Petrol,Comprehensive,60000 Kms,Manual,2016.0,16.8 kmpl,5 Speed,Delhi
Sedan,2,2021,₹ 8.01 Lakh,Petrol,Third Party insurance,18340 Kms,Automatic,2011.0,22.61 kmpl,5 Speed,Delhi
SUV,1,2022,₹ 29 Lakh,Diesel,Third Party insurance,20000 Kms,Automatic,2017.0,14.9 kmpl,9 Speed,Delhi
SUV,2,2017,₹ 8 Lakh,Diesel,Comprehensive,70000 Kms,Automatic,2021.0,17.01 kmpl,6 Speed,Delhi
Hatchback,1,2015,₹ 3.13 Lakh,CNG,Third Party insurance,75000 Kms,Manual,2019.0,33.54 kmpl,5 Speed,Delhi
SUV,1,2017,₹ 5.10 Lakh,Petrol,Comprehensive,40000 Kms,Manual,2021.0,17.5 kmpl,5 Speed,Delhi
SUV,2,2014,₹ 11.25 Lakh,Diesel,Third Party insurance,57000 Kms,Automatic,2020.0,15.73 kmpl,7-Speed S-Tronic ,Delhi
Hatchback,1,2016,₹ 4.55 Lakh,Petrol,Comprehensive,48000 Kms,Manual,2022.0,21.4 kmpl,5 Speed,Delhi
Sedan,1,2011,₹ 3 Lakh,Petrol,Comprehensive,120000 Kms,Manual,2009.0,17 kmpl,5 Speed,Delhi
SUV,1,2017,₹ 7.25 Lakh,Petrol,Comprehensive,25000 Kms,Automatic,2017.0,14.7 kmpl,6 Speed,Delhi
MUV,1,2021,₹ 23.25 Lakh,Diesel,Comprehensive,29000 Kms,Automatic,2019.0,12 kmpl,6 Speed,Delhi
Hatchback,1,2019,₹ 5.15 Lakh,Diesel,Third Party insurance,63176 Kms,Manual,2018.0,25.83 kmpl,5 Speed,Delhi
Sedan,1,2021,₹ 40 Lakh,Petrol,Comprehensive,24000 Kms,Automatic,2018.0,17.42 kmpl,7-speed Stronic,Delhi
Hatchback,1,2020,₹ 4.18 Lakh,Petrol,Third Party insurance,22820 Kms,Manual,2019.0,21.74 kmpl,5 Speed,Delhi
SUV,1,2022,₹ 76 Lakh,Diesel,Comprehensive,5000 Kms,Automatic,2014.0,,9-speed automatic,Delhi
Hatchback,1,2009,₹ 2 Lakh,Petrol,Third Party,30000 Kms,Manual,2023.0,20.36 kmpl,5 Speed,Delhi
Sedan,1,2017,₹ 6.85 Lakh,Petrol,Comprehensive,74538 Kms,Automatic,2017.0,21.21 kmpl,5 Speed,Delhi
SUV,1,2019,₹ 36 Lakh,Petrol,Comprehensive,40000 Kms,Automatic,2018.0,11.5 kmpl,9 Speed,Delhi
Hatchback,1,2018,₹ 2.89 Lakh,Petrol,Comprehensive,45399 Kms,Manual,2015.0,22.05 kmpl,5 Speed,Delhi
Sedan,2,2018,₹ 6.10 Lakh,Petrol,Comprehensive,24940 Kms,Manual,2014.0,19.44 kmpl,5 Speed,Delhi
SUV,1,2019,₹ 14 Lakh,Diesel,Comprehensive,22000 Kms,Automatic,2017.0,17.01 kmpl,6 Speed,Delhi
Sedan,1,2014,₹ 3.23 Lakh,Petrol,Comprehensive,98681 Kms,Manual,2016.0,18 kmpl,5 Speed,Delhi
SUV,1,2023,₹ 95 Lakh,Diesel,Comprehensive,6000 Kms,Automatic,2013.0,,9G-TRONIC,Delhi
Hatchback,1,2017,₹ 5.25 Lakh,Petrol,Comprehensive,40000 Kms,Manual,2018.0,21.01 kmpl,5 Speed,Delhi
SUV,1,2018,₹ 7.25 Lakh,Diesel,Comprehensive,58000 Kms,Manual,2017.0,25.5 kmpl,6 Speed,Delhi
Hatchback,1,2015,₹ 4.25 Lakh,Diesel,Comprehensive,75000 Kms,Manual,2017.0,22.54 kmpl,6 Speed,Delhi
SUV,1,2014,₹ 3.50 Lakh,Diesel,Third Party insurance,76000 Kms,Manual,2020.0,22.7 kmpl,5 Speed,Delhi
Hatchback,1,2017,₹ 3.25 Lakh,Petrol,Comprehensive,60000 Kms,Automatic,2017.0,24.04 kmpl,5 Speed,Delhi
Sedan,1,2016,₹ 6.75 Lakh,Petrol,Comprehensive,58000 Kms,Automatic,2019.0,18 kmpl,5 Speed CVT,Delhi
Sedan,2,2013,₹ 4.15 Lakh,Petrol,Third Party insurance,80000 Kms,Manual,2015.0,14.69 kmpl,6 Speed,Delhi
Sedan,1,2018,₹ 38.75 Lakh,Diesel,Third Party insurance,20000 Kms,Automatic,2018.0,18 kmpl,8 Speed,Delhi
Hatchback,1,2017,₹ 5.89 Lakh,Petrol,Third Party insurance,42841 Kms,Manual,2018.0,21.4 kmpl,5 Speed,Delhi
SUV,1,2017,₹ 6.50 Lakh,Diesel,Comprehensive,67000 Kms,Manual,2021.0,24.3 kmpl,5 Speed,Delhi
MUV,1,2020,₹ 10.27 Lakh,Petrol,Third Party insurance,26000 Kms,Manual,2022.0,19.01 kmpl,5-Speed,Delhi
Hatchback,1,2017,₹ 3.75 Lakh,Petrol,Third Party insurance,40000 Kms,Manual,2017.0,18.9 kmpl,5 Speed,Delhi
SUV,1,2019,₹ 13 Lakh,Diesel,Zero Dep,60000 Kms,Manual,2022.0,15.1 kmpl,6 Speed,Delhi
Sedan,2,2015,₹ 9.03 Lakh,Petrol,Third Party insurance,37140 Kms,Manual,2022.0,17.01 kmpl,5 Speed,Delhi
Hatchback,1,2018,₹ 3.50 Lakh,CNG,Comprehensive,120000 Kms,Manual,2018.0,31.79 kmpl,5 Speed,Delhi
SUV,1,2018,₹ 28.50 Lakh,Diesel,Comprehensive,74000 Kms,Automatic,2022.0,12.9 kmpl,6 Speed,Delhi
Hatchback,1,2021,₹ 9.04 Lakh,Petrol,Comprehensive,16430 Kms,Manual,2017.0,21 kmpl,5 Speed,Delhi
SUV,1,2022,₹ 9.50 Lakh,Petrol,Comprehensive,10000 Kms,Manual,2022.0,17.03 kmpl,5 Speed,Delhi
Sedan,1,2017,₹ 9.49 Lakh,Petrol,Comprehensive,63054 Kms,Automatic,2021.0,18 kmpl,CVT,Delhi
Sedan,1,2022,₹ 39 Lakh,Petrol,Third Party insurance,12000 Kms,Automatic,2020.0,15.1 kmpl,7-Speed DSG,Delhi
Sedan,1,2022,₹ 74 Lakh,Diesel,Comprehensive,13000 Kms,Automatic,2017.0,16.1 kmpl,9 Speed,Delhi
SUV,2,2018,₹ 10.99 Lakh,Diesel,Comprehensive,32000 Kms,Automatic,2019.0,17.01 kmpl,6 Speed,Delhi
SUV,1,2022,₹ 15.11 Lakh,Petrol,Third Party insurance,3500 Kms,Manual,2018.0,,6-speed,Delhi
Convertibles,1,2017,₹ 64.75 Lakh,Petrol,Third Party insurance,7023 Kms,Automatic,2022.0,19 kmpl,9 Speed,Delhi
SUV,1,2022,₹ 92 Lakh,Diesel,Zero Dep,5000 Kms,Automatic,2015.0,,9G-TRONIC,Delhi
Sedan,1,2021,₹ 40 Lakh,Petrol,Comprehensive,11000 Kms,Automatic,2013.0,,7-Speed DCT,Delhi
Sedan,1,2020,₹ 42.50 Lakh,Petrol,Zero Dep,11000 Kms,Automatic,2020.0,11.9 kmpl,9 Speed,Delhi
Hatchback,1,2017,₹ 4.22 Lakh,Petrol,Third Party,50629 Kms,Manual,2017.0,22.38 kmpl,5-Speed,Delhi
Hatchback,1,2019,₹ 6.78 Lakh,Petrol,Third Party insurance,63534 Kms,Automatic,2019.0,21.4 kmpl,CVT,Delhi
Hatchback,1,2018,₹ 3 Lakh,Petrol,Third Party,52000 Kms,Manual,2017.0,20.3 kmpl,5 Speed,Delhi
Hatchback,1,2022,₹ 4.96 Lakh,CNG,Comprehensive,33695 Kms,Manual,2014.0,31.59 km/kg,5 Speed,Delhi
Hatchback,1,2015,₹ 4.63 Lakh,Petrol,Zero Dep,68744 Kms,Automatic,2015.0,19 kmpl,5 Speed,Delhi
Sedan,1,2013,₹ 4.55 Lakh,Petrol,Comprehensive,70000 Kms,Manual,2017.0,16.8 kmpl,5 Speed,Delhi
Hatchback,1,2020,₹ 7.51 Lakh,Petrol,Comprehensive,9540 Kms,Automatic,2017.0,23.84 kmpl,5 Speed,Delhi
Sedan,1,2017,₹ 7.75 Lakh,Petrol,Comprehensive,45000 Kms,Automatic,2020.0,19.12 kmpl,4 Speed,Delhi
Hatchback,1,2019,₹ 6.78 Lakh,Petrol,Comprehensive,36861 Kms,Manual,2019.0,21.4 kmpl,5 Speed,Delhi
