bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
Hatchback,2,2016,Petrol,Third Party insurance,36685,Manual,2016,19,5,Bangalore,4.62
SUV,2,2012,Diesel,Comprehensive,120000,Automatic,2012,11,6,Bangalore,9.0
Sedan,1,2022,Petrol,Comprehensive,4000,Automatic,2022,13,8,Bangalore,79.0
Hatchback,2,2019,Petrol,Comprehensive,32184,Automatic,2019,21,5,Bangalore,8.43
Hatchback,1,2018,Petrol,Third Party insurance,32279,Manual,2018,21,5,Bangalore,7.99
Hatchback,1,2015,Petrol,Third Party insurance,59698,Manual,2015,18,5,Bangalore,5.76
SUV,1,2018,Diesel,Comprehensive,46071,Manual,2018,20,6,Bangalore,9.49
SUV,1,2017,Diesel,Third Party insurance,90000,Manual,2017,24,5,Bangalore,7.95
SUV,1,2019,Petrol,Comprehensive,9554,Manual,2019,18,6,Bangalore,10.85
SUV,1,2022,Petrol,Comprehensive,14000,Automatic,2022,14,7,Bangalore,25.9
SUV,2,2013,Diesel,Third Party insurance,74499,Manual,2013,20,5,Bangalore,5.16
SUV,2,2017,Petrol,Comprehensive,56211,Automatic,2017,14,6,Bangalore,7.77
Hatchback,1,2019,Petrol,Third Party insurance,9001,Manual,2019,18,5,Bangalore,7.53
SUV,2,2017,Diesel,Comprehensive,65457,Automatic,2017,16,6,Bangalore,12.26
Hatchback,1,2017,Petrol,Comprehensive,23682,Manual,2017,18,5,Bangalore,7.25
Sedan,1,2020,Diesel,Third Party insurance,50000,Manual,2020,22,6,Bangalore,11.5
Hatchback,2,2015,Diesel,Comprehensive,134557,Manual,2015,25,5,Bangalore,6.29
Sedan,2,2013,Petrol,Comprehensive,96567,Manual,2013,22,5,Bangalore,4.47
Hatchback,3,2015,Petrol,Comprehensive,120000,Manual,2015,23,5,Bangalore,4.0
MUV,2,2014,Diesel,Comprehensive,83007,Manual,2014,20,5,Bangalore,7.86
Hatchback,1,2018,Petrol,Third Party insurance,34000,Manual,2018,18,5,Bangalore,7.45
Hatchback,1,2014,Petrol,Third Party insurance,81634,Automatic,2014,18,4,Bangalore,4.9
Sedan,2,2017,Petrol,Third Party insurance,57284,Automatic,2017,18,5,Bangalore,9.42
SUV,2,2016,Petrol,Comprehensive,70000,Automatic,2016,15,6,Bangalore,6.75
Hatchback,2,2013,Petrol,Third Party insurance,70000,Manual,2013,19,5,Bangalore,3.3
Sedan,2,2018,Petrol,Third Party insurance,46429,Automatic,2018,17,7,Bangalore,8.75
Hatchback,1,2017,Petrol,Third Party insurance,17624,Manual,2017,21,5,Bangalore,8.69
Sedan,2,2012,Diesel,Third Party insurance,100000,Manual,2012,20,5,Bangalore,4.25
Sedan,1,2019,Petrol,Third Party insurance,30000,Manual,2019,17,5,Bangalore,10.7
SUV,2,2018,Petrol,Third Party insurance,49690,Manual,2018,15,5,Bangalore,10.25
SUV,1,2016,Diesel,Comprehensive,110000,Manual,2016,16,6,Bangalore,10.0
Sedan,1,2009,Petrol,Third Party insurance,50000,Manual,2009,16,5,Bangalore,3.75
Sedan,1,2009,Petrol,Third Party insurance,50000,Manual,2009,16,5,Bangalore,3.75
